| end of split  58 / 80 | epoch   3 | time: 355.07s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  59 / 80 | epoch   3 | time: 355.17s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  60 / 80 | epoch   3 | time: 354.47s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  61 / 80 | epoch   3 | time: 354.07s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  62 / 80 | epoch   3 | time: 354.73s | valid loss  0.77 | valid ppl     2.16 | learning rate 20.0000
| end of split  63 / 80 | epoch   3 | time: 354.56s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  64 / 80 | epoch   3 | time: 354.73s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  65 / 80 | epoch   3 | time: 354.96s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  66 / 80 | epoch   3 | time: 354.01s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  67 / 80 | epoch   3 | time: 355.01s | valid loss  0.77 | valid ppl     2.16 | learning rate 20.0000
| end of split  68 / 80 | epoch   3 | time: 354.67s | valid loss  0.77 | valid ppl     2.16 | learning rate 20.0000
| end of split  69 / 80 | epoch   3 | time: 354.13s | valid loss  0.77 | valid ppl     2.16 | learning rate 20.0000
| end of split  70 / 80 | epoch   3 | time: 353.67s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  71 / 80 | epoch   3 | time: 353.25s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  72 / 80 | epoch   3 | time: 353.02s | valid loss  0.77 | valid ppl     2.16 | learning rate 20.0000
| end of split  73 / 80 | epoch   3 | time: 353.57s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  74 / 80 | epoch   3 | time: 355.13s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  75 / 80 | epoch   3 | time: 354.38s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  76 / 80 | epoch   3 | time: 354.52s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  77 / 80 | epoch   3 | time: 355.34s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
